id,name,count,color
808370,"Empire",12,fb73ff
808369,"Kingdom",16,09ff00
808368,"United Kingdom",9,00fff7
808367,"River",63,ff73be
808366,"Washington",15,7378ff
808365,"Ottawa",2,0009ff
808364,"London",46,7700ff
808363,"City",36,0089ff
808362,"Town",71,ff73be
808361,"Irish",14,73beff
808360,"Ireland",23,73ffb5
808359,"Welsh",2,ff73be
808358,"Wales",71,ffb573
808357,"Scottish",3,ff0009
808356,"Scotland",20,73fffb
808355,"Germany",11,7700ff
808354,"Ocean",12,0089ff
808353,"Spanish",25,0089ff
808352,"Spain",11,78ff73
808351,"French",23,ff0009
808350,"France",23,7378ff
808349,"English",31,ffb573
808348,"England",64,7700ff
808347,"Colony",80,7378ff
808346,"Canada",50,78ff73
808345,"County",23,ff7378
808344,"State",105,09ff00
808343,"British",76,f700ff
808342,"American",73,ffb573
808341,"America",74,beff73
808340,"Britain",43,fb73ff
808337,"country",141,73beff
